,Actors
0, Robert De Niro
1, Jack Nicholson
2, Tom Hanks
3, Marlon Brando
4, Leonardo DiCaprio
5, Humphrey Bogart
6, Johnny Depp
7, Al Pacino
8, Denzel Washington
9, Laurence Olivier
10, Brad Pitt
11, Daniel Day-Lewis
12, Tom Cruise
13, Cary Grant
14, Dustin Hoffman
15, Clark Gable
16, Sean Penn
17, Christian Bale
18, Gregory Peck
19, Sidney Poitier
20, Harrison Ford
21, Spencer Tracy
22, George Clooney
23, Charlton Heston
24, Morgan Freeman
25, Katharine Hepburn
26, Meryl Streep
27, Ingrid Bergman
28, Marilyn Monroe
29, Jennifer Lawrence
30, Kate Winslet
31, Elizabeth Taylor
32, Cate Blanchett
33, Audrey Hepburn
34, Helen Mirren
35, Bette Davis
36, Viola Davis
37, Nicole Kidman
38, Sandra Bullock
39, Natalie Portman
40, Jodie Foster
41, Judi Dench
42, Amy Adams
43, Julia Roberts
44, Diane Keaton
45, Grace Kelly
46, Shirley MacLaine
47, Reese Witherspoon
48, Charlize Theron
49, Judy Garland
50, John Wayne
51, Paul Newman
52, Anthony Hopkins
53, Matt Damon
54, Russell Crowe
55, Robert Duvall
56, James Dean
57, Kirk Douglas
58, Henry Fonda
59, Robin Williams
60, Orson Welles
61, Christoph Waltz
62, Heath Ledger
63, Sean Connery
64, Kevin Spacey
65, Gene Hackman
66, Liam Neeson
67, Edward Norton
68, Bruce Willis
69, Gary Cooper
70, Philip Seymour Hoffman
71, Robert Redford
72, Ralph Fiennes
73, Will Smith
74, Steve McQueen
75, Vivien Leigh
76, Angelina Jolie
77, Anne Hathaway
78, Maggie Smith
79, Olivia de Havilland
80, Barbara Stanwyck
81, Joan Fontaine
82, Greer Garson
83, Faye Dunaway
84, Susan Hayward
85, Ellen Burstyn
86, Jane Wyman
87, Sophia Loren
88, Joan Crawford
89, Kathy Bates
90, Julie Andrews
91, Marion Cotillard
92, Deborah Kerr
93, Sissy Spacek
94, Susan Sarandon
95, Luise Rainer
96, Glenn Close
97, Jane Fonda
98, Doris Day
99, Natalie Wood
100, Jeff Bridges
101, Chiwetel Ejiofor
102, Ben Kingsley
103, Tommy Lee Jones
104, Samuel L. Jackson
105, Jack Lemmon
106, Joe Pesci
107, Christopher Plummer
108, George C. Scott
109, Joaquin Phoenix
110, Christopher Walken
111, John Travolta
112, James Stewart
113, Matthew McConaughey
114, Peter O'Toole
115, James Cagney
116, Ian McKellen
117, John Cusack
118, Bill Murray
119, Robert Downey Jr.
120, Nicolas Cage
121, Gene Wilder
122, Kevin Costner
123, Donald Sutherland
124, Bruce Dern
125, Ava Gardner
126, Sally Field
127, Emma Thompson
128, Greta Garbo
129, Holly Hunter
130, Hilary Swank
131, Claudette Colbert
132, Diane Lane
133, Jessica Lange
134, Gloria Swanson
135, Lauren Bacall
136, Frances McDormand
137, Norma Shearer
138, Bette Midler
139, Mary Tyler Moore
140, Anna Magnani
141, Halle Berry
142, Sharon Stone
143, Kim Basinger
144, Glenda Jackson
145, Donna Reed
146, Geena Davis
147, Demi Moore
148, Michelle Pfeiffer
149, Liza Minnelli
150, Charles Chaplin
151, Peter Sellers
152, Woody Allen
153, Jon Voight
154, Mel Gibson
155, Jim Carrey
156, Mark Wahlberg
157, Steve Martin
158, Javier Bardem
159, Tim Robbins
160, Arnold Schwarzenegger
161, Sylvester Stallone
162, Viggo Mortensen
163, Hugo Weaving
164, Christopher Lee
165, Geoffrey Rush
166, Alec Guinness
167, Richard Burton
168, Alec Baldwin
169, James Caan
170, Michael Douglas
171, Ben Stiller
172, Willem Dafoe
173, Ed Harris
174, Harvey Keitel
175, Drew Barrymore
176, Winona Ryder
177, Kathleen Turner
178, Uma Thurman
179, Hattie McDaniel
180, Rene Russo
181, Annette Bening
182, Sigourney Weaver
183, Barbra Streisand
184, Raquel Welch
185, Joanne Woodward
186, Shirley Booth
187, Mercedes McCambridge
188, Anjelica Huston
189, Dianne Wiest
190, Goldie Hawn
191, Judy Davis
192, Claudia Cardinale
193, Gwyneth Paltrow
194, Julianne Moore
195, Debra Winger
196, Christina Ricci
197, Juliette Binoche
198, Daryl Hannah
199, Whoopi Goldberg
200, Benicio Del Toro
201, Kevin Bacon
202, Patrick Swayze
203, Michael Caine
204, Clint Eastwood
205, Burt Lancaster
206, Robert Mitchum
207, Colin Farrell
208, William Holden
209, Edward G. Robinson
210, William Powell
211, Errol Flynn
212, Groucho Marx
213, James Mason
214, Buster Keaton
215, Gene Kelly
216, Fred Astaire
217, Bradley Cooper
218, Jude Law
219, Robert Pattinson
220, Paul Giamatti
221, Forest Whitaker
222, Jared Leto
223, Jonah Hill
224, Michael Fassbender
225, Carol Burnett
226, Jessica Tandy
227, Helen Hunt
228, Patricia Arquette
229, Carmen Miranda
230, Kate Hudson
231, Catherine Zeta-Jones
232, Cameron Diaz
233, Debbie Reynolds
234, Rita Hayworth
235, Maureen O'Hara
236, Myrna Loy
237, Lena Headey
238, Toni Collette
239, Laura Linney
240, Marlene Dietrich
241, Carole Lombard
242, Jean Arthur
243, Jean Harlow
244, Ginger Rogers
245, Mary Pickford
246, Mae West
247, Gillian Anderson
248, Emma Watson
249, Meg Ryan
250, Alan Arkin
251, Benedict Cumberbatch
252, Chris Hemsworth
253, Henry Cavill
254, Tom Hardy
255, Jean Dujardin
256, Colin Firth
257, Jamie Foxx
258, Adrien Brody
259, Roberto Benigni
260, Jeremy Irons
261, William Hurt
262, F. Murray Abraham
263, Richard Dreyfuss
264, Peter Finch
265, Art Carney
266, Cliff Robertson
267, Rod Steiger
268, Chris Pratt
269, Lee Marvin
270, Rex Harrison
271, Maximilian Schell
272, David Niven
273, Yul Brynner
274, Ernest Borgnine
275, Chloë Grace Moretz
276, Anna Kendrick
277, Emily Watson
278, Helena Bonham Carter
279, Keira Knightley
280, Alexis Thorpe
281, Marion Davies
282, Scarlett Johansson
283, Dakota Fanning
284, Jennifer Aniston
285, Jennifer Connelly
286, Rachel McAdams
287, Carey Mulligan
288, Mila Kunis
289, Amanda Seyfried
290, Jennifer Lopez
291, Neve Campbell
292, Fairuza Balk
293, Jessica Alba
294, Kristen Stewart
295, Julie Walters
296, Rooney Mara
297, Jamie Lee Curtis
298, Emma Stone
299, Kirsten Dunst
300, José Ferrer
301, Broderick Crawford
302, Ronald Colman
303, Fredric March
304, Ray Milland
305, Bing Crosby
306, Paul Lukas
307, Robert Donat
308, Paul Muni
309, Victor McLaglen
310, Charles Laughton
311, Wallace Beery
312, Kurt Russell
313, Lionel Barrymore
314, Jeff Goldblum
315, Warner Baxter
316, Emil Jannings
317, Chris Cooper
318, Jim Broadbent
319, James Coburn
320, Cuba Gooding Jr.
321, Martin Landau
322, Jack Palance
323, Kevin Kline
324, Don Ameche
325, Kate Beckinsale
326, Zooey Deschanel
327, Michelle Williams
328, Milla Jovovich
329, Selena Gomez
330, Rachel Weisz
331, Kristen Bell
332, Katherine Heigl
333, Liv Tyler
334, Jessica Chastain
335, Megan Fox
336, Betty White
337, Geraldine Page
338, Eliza Dushku
339, Robin Wright
340, Leighton Meester
341, Jennifer Jones
342, Shirley Temple
343, Julia Louis-Dreyfus
344, Olivia Thirlby
345, Cher
346, Penélope Cruz
347, Louise Fletcher
348, Julie Christie
349, Patricia Neal
350, Haing S. Ngor
351, Louis Gossett Jr.
352, John Gielgud
353, Timothy Hutton
354, Melvyn Douglas
355, Jason Robards
356, George Burns
357, John Houseman
358, Ethan Hawke
359, Ben Johnson
360, John Mills
361, Gig Young
362, Jack Albertson
363, George Kennedy
364, Walter Matthau
365, Martin Balsam
366, Peter Ustinov
367, Ed Begley
368, George Chakiris
369, Hugh Griffith
370, Burl Ives
371, Red Buttons
372, Anthony Quinn
373, Edmond O'Brien
374, Frank Sinatra
375, Anne Bancroft
376, Kim Novak
377, Simone Signoret
378, Ellen Page
379, Angela Lansbury
380, Judy Holliday
381, Loretta Young
382, Shirley Jones
383, Vera Farmiga
384, Helen Hayes
385, Marie Dressler
386, Janet Gaynor
387, Lupita Nyong'o
388, Octavia Spencer
389, Melissa Leo
390, Mo'Nique
391, Marlee Matlin
392, Tilda Swinton
393, Jennifer Hudson
394, Renée Zellweger
395, Marcia Gay Harden
396, Anna Paquin
397, Marisa Tomei
398, Mercedes Ruehl
399, Brenda Fricker
400, Jean Reno
401, George Sanders
402, Dean Jagger
403, Walter Huston
404, Edmund Gwenn
405, Harold Russell
406, Hugh Grant
407, Barry Fitzgerald
408, Charles Coburn
409, Van Heflin
410, Donald Crisp
411, Thomas Mitchell
412, Walter Brennan
413, Joseph Schildkraut
414, Keanu Reeves
415, Channing Tatum
416, Hugh Jackman
417, Dwayne Johnson
418, Adam Sandler
419, Daniel Radcliffe
420, Daniel Craig
421, Ryan Gosling
422, Vin Diesel
423, Ben Affleck
424, Chris Pine
425, Olympia Dukakis
426, Peggy Ashcroft
427, Linda Hunt
428, Maureen Stapleton
429, Mary Steenburgen
430, Beatrice Straight
431, Vanessa Redgrave
432, Lee Grant
433, Eileen Heckart
434, Cloris Leachman
435, Ruth Gordon
436, Estelle Parsons
437, Sandy Dennis
438, Shelley Winters
439, Maggie Gyllenhaal
440, Katie Holmes
441, Patty Duke
442, Rita Moreno
443, Wendy Hiller
444, Miyoshi Umeki
445, Dorothy Malone
446, Jo Van Fleet
447, Eva Marie Saint
448, Gloria Grahame
449, Kim Hunter
450, Andrew Garfield
451, Jeremy Renner
452, Steve Carell
453, Jake Gyllenhaal
454, Chris Evans
455, James Franco
456, Zach Galifianakis
457, Will Ferrell
458, Shia LaBeouf
459, Seth Rogen
460, Joseph Gordon-Levitt
461, Ryan Reynolds
462, Paul Rudd
463, Jason Segel
464, Jason Statham
465, Justin Timberlake
466, Dick Van Dyke
467, Zac Efron
468, Jesse Eisenberg
469, Owen Wilson
470, Jason Bateman
471, Tyler Perry
472, Liam Hemsworth
473, William Shatner
474, Shah Rukh Khan
475, Thora Birch
476, Claire Trevor
477, Celeste Holm
478, Anne Baxter
479, Queen Latifah
480, Ethel Barrymore
481, Rosario Dawson
482, Teresa Wright
483, Mary Astor
484, Jane Darwell
485, Alicia Vikander
486, Mia Wasikowska
487, Abigail Breslin
488, Gale Sondergaard
489, Melissa McCarthy
490, Tina Fey
491, Zoe Saldana
492, Elisabeth Moss
493, Adrianne Palicki
494, Jennifer Garner
495, Kristen Wiig
496, June Squibb
497, Sally Hawkins
498, Kaley Cuoco
499, Naomi Watts
500, Josh Hutcherson
501, Charlie Hunnam
502, Nicholas Hoult
503, Aaron Taylor-Johnson
504, Bryan Cranston
505, Gerard Butler
506, Paul Walker
507, Karl Urban
508, Logan Lerman
509, Dave Franco
510, Tom Hiddleston
511, Peter Dinklage
512, Taylor Kitsch
513, Alex Pettyfer
514, Guy Pearce
515, Mark Ruffalo
516, Mickey Rourke
517, Frank Langella
518, Eddie Redmayne
519, David Strathairn
520, Terrence Howard
521, Don Cheadle
522, Tom Wilkinson
523, Richard Farnsworth
524, Nick Nolte
525, AnnaSophia Robb
526, Gemma Arterton
527, Olivia Wilde
528, Isla Fisher
529, Shailene Woodley
530, Rebel Wilson
531, Emma Roberts
532, Amber Heard
533, Teresa Palmer
534, Saoirse Ronan
535, Elizabeth Banks
536, Ida Lupino
537, Natalie Dormer
538, Brittany Snow
539, Kate Mara
540, Julianne Hough
541, Lily Collins
542, Cobie Smulders
543, Alice Eve
544, Jamie Chung
545, Noomi Rapace
546, Blake Lively
547, Maggie Grace
548, Jessica Biel
549, Eva Green
550, Peter Fonda
551, Woody Harrelson
552, Billy Bob Thornton
553, Idris Elba
554, Nigel Hawthorne
555, Laurence Fishburne
556, Stephen Rea
557, Warren Beatty
558, Gérard Depardieu
559, Richard Harris
560, Kenneth Branagh
561, Edward James Olmos
562, Max von Sydow
563, Marcello Mastroianni
564, Bob Hoskins
565, James Woods
566, John Hawkes
567, James Garner
568, Sam Waterston
569, Tom Hulce
570, Albert Finney
571, Tom Conti
572, Tom Courtenay
573, Dudley Moore
574, John Hurt
575, Kat Dennings
576, Priyanka Chopra
577, Emmanuelle Riva
578, Greta Gerwig
579, Brie Larson
580, Jessica Lucas
581, Liv Ullmann
582, Maria Falconetti
583, Setsuko Hara
584, Rosalind Russell
585, Linda Fiorentino
586, Gabourey Sidibe
587, Catherine Deneuve
588, Mia Farrow
589, Audrey Tautou
590, Jeanne Moreau
591, Isabelle Huppert
592, Gena Rowlands
593, Lesley Manville
594, Elizabeth Olsen
595, Nastassja Kinski
596, Mélanie Laurent
597, Whitney Houston
598, Felicity Huffman
599, Imelda Staunton
600, Oscar Isaac
601, Jon Heder
602, Miles Teller
603, Daniel Brühl
604, James Gandolfini
605, Michael B. Jordan
606, Anthony Perkins
607, David Thewlis
608, Klaus Kinski
609, Malcolm McDowell
610, Ray Winstone
611, Jean-Paul Belmondo
612, Andy Serkis
613, Matthew Broderick
614, Dennis Hopper
615, Michael Rooker
616, Vincent Gallo
617, Toshirô Mifune
618, Vincent Cassel
619, J.K. Simmons
620, Boris Karloff
621, Peter Lorre
622, Antonio Banderas
623, Paddy Considine
624, Ryan Phillippe
625, Kerry Washington
626, Carrie-Anne Moss
627, Janet Leigh
628, Catalina Sandino Moreno
629, Samantha Morton
630, Keisha Castle-Hughes
631, Salma Hayek
632, Joan Allen
633, Janet McTeer
634, Fernanda Montenegro
635, Kristin Scott Thomas
636, Brenda Blethyn
637, Elisabeth Shue
638, Miranda Richardson
639, Stockard Channing
640, Angela Bassett
641, Mary McDonnell
642, Lucille Ball
643, Laura Dern
644, Pauline Collins
645, Isabelle Adjani
646, Melanie Griffith
647, Sally Kirkland
648, Jane Alexander
649, Marsha Mason
650, Freddie Highmore
651, Michael J. Fox
652, Eddie Murphy
653, Yun-Fat Chow
654, Seth MacFarlane
655, Bruce Lee
656, Jet Li
657, Chuck Norris
658, Jean-Claude Van Damme
659, Sam Rockwell
660, Takashi Shimura
661, Richard E. Grant
662, Leslie Nielsen
663, Simon Pegg
664, John Malkovich
665, Michael Shannon
666, Martin Sheen
667, Christopher Guest
668, Alan Rickman
669, Jackie Earle Haley
670, Montgomery Clift
671, James Spader
672, Eric Bana
673, Romain Duris
674, Robert Shaw
675, Jacki Weaver
676, Bérénice Bejo
677, Hailee Steinfeld
678, Jennifer Jason Leigh
679, Kathleen Quinlan
680, Taraji P. Henson
681, Amy Ryan
682, Ruby Dee
683, Jill Clayburgh
684, Adriana Barraza
685, Rinko Kikuchi
686, Catherine Keener
687, Charlotte Rampling
688, Sophie Okonedo
689, Patricia Clarkson
690, Shohreh Aghdashloo
691, Lindsay Lohan
692, Michelle Trachtenberg
693, Chloë Sevigny
694, Lynn Redgrave
695, Rachel Griffiths
696, Margot Robbie
697, Lili Taylor
698, Robin Weigert
699, Lake Bell
700, Claude Rains
701, Steve Buscemi
702, John Rhys-Davies
703, Jean-Louis Trintignant
704, Joseph Cotten
705, Barry Pepper
706, Erich von Stroheim
707, Patrick Wilson
708, Christopher Lloyd
709, Ben Foster
710, Joel McCrea
711, Min-sik Choi
712, Ewan McGregor
713, Gael García Bernal
714, Bruno Ganz
715, Sean Astin
716, Irrfan Khan
717, Michael C. Hall
718, Roy Scheider
719, Casey Affleck
720, Gary Busey
721, Norman Reedus
722, Jeff Daniels
723, Stanley Tucci
724, Kiefer Sutherland
725, Léa Seydoux
726, Dakota Johnson
727, Julie Delpy
728, Linda Hamilton
729, Carrie Fisher
730, Pam Grier
731, Björk
732, Emily Browning
733, Juliette Lewis
734, Sarah Jessica Parker
735, Piper Laurie
736, Miley Cyrus
737, Lily Tomlin
738, Anna Friel
739, Gloria Stuart
740, Talia Shire
741, Gal Gadot
742, Sue Lyon
743, Olivia Newton-John
744, Minnie Driver
745, Teri Garr
746, Keri Russell
747, Jean Seberg
748, Sarah Polley
749, Kate Capshaw
750, Josh Brolin
751, Hal Holbrook
752, Djimon Hounsou
753, Matt Dillon
754, Alan Alda
755, Thomas Haden Church
756, Clive Owen
757, Ken Watanabe
758, Suraj Sharma
759, John C. Reilly
760, Michael Clarke Duncan
761, Haley Joel Osment
762, Greg Kinnear
763, Burt Reynolds
764, Robert Forster
765, Jason Schwartzman
766, William H. Macy
767, Armin Mueller-Stahl
768, Tim Roth
769, James Cromwell
770, Chazz Palminteri
771, Gary Sinise
772, Paul Scofield
773, Pete Postlethwaite
774, Mads Mikkelsen
775, Jada Pinkett Smith
776, Tatum O'Neal
777, Anna Faris
778, Ashley Greene
779, Famke Janssen
780, Rosamund Pike
781, Bonnie Hunt
782, Leslie Mann
783, Mindy Kaling
784, Analeigh Tipton
785, Thandie Newton
786, Amanda Peet
787, Julia Stiles
788, Maria Bello
789, Eva Mendes
790, Emily Blunt
791, Rose Byrne
792, Ashley Judd
793, Emilia Clarke
794, Christina Applegate
795, Nia Long
796, Felicity Jones
797, Téa Leoni
798, Alexandra Daddario
799, Jena Malone
800, Richard Gere
801, Nick Frost
802, Ray Liotta
803, Chris Rock
804, Jon Hamm
805, Neil Patrick Harris
806, Charlie Sheen
807, Mark Rylance
808, Andy Garcia
809, Michael Lerner
810, Graham Greene
811, Bruce Davison
812, Dan Aykroyd
813, Danny Aiello
814, River Phoenix
815, Dean Stockwell
816, Billy Crystal
817, John Goodman
818, Orlando Bloom
819, Stellan Skarsgård
820, Alexander Skarsgård
821, Mike Myers
822, Tyrese Gibson
823, Elijah Wood
824, Danny DeVito
825, Lucy Liu
826, Rebecca Romijn
827, Michelle Rodriguez
828, Sarah Michelle Gellar
829, Beyoncé
830, Rebecca Hall
831, Piper Perabo
832, Courteney Cox
833, Parker Posey
834, Paula Patton
835, Michelle Monaghan
836, Claire Danes
837, Ali Larter
838, Kate Bosworth
839, Evan Rachel Wood
840, Mira Sorvino
841, Ziyi Zhang
842, Amanda Crew
843, Amanda Bynes
844, Lisa Kudrow
845, Neve Campbell
846, Ellen DeGeneres
847, Sofía Vergara
848, Mandy Moore
849, Virginia Madsen
850, James Marsden
851, Tim Allen
852, Giovanni Ribisi
853, Rutger Hauer
854, Vince Vaughn
855, Brian Cox
856, Dennis Quaid
857, John Leguizamo
858, Michael Keaton
859, Billy Burke
860, Brendan Gleeson
861, Clark Gregg
862, Jonathan Pryce
863, Tobey Maguire
864, Michael Sheen
865, Justin Long
866, Kellan Lutz
867, Jack Black
868, Pierce Brosnan
869, Sean Bean
870, Cedric the Entertainer
871, Mahershala Ali
872, Josh Duhamel
873, Jon Favreau
874, Danny Glover
875, Freida Pinto
876, Hilary Duff
877, Mary Elizabeth Winstead
878, Jennifer Coolidge
879, Andrea Riseborough
880, Molly Ringwald
881, January Jones
882, Maya Rudolph
883, Sophie Marceau
884, Olga Kurylenko
885, Franka Potente
886, Rashida Jones
887, Alicia Silverstone
888, Rosie Huntington-Whiteley
889, Lillian Gish
890, Evangeline Lilly
891, Mireille Enos
892, Jennifer Love Hewitt
893, Emmy Rossum
894, Joey King
895, Ginnifer Goodwin
896, Christine Taylor
897, Vanessa Hudgens
898, Abbie Cornish
899, Michelle Yeoh
900, Ian Holm
901, Nathan Lane
902, Cary Elwes
903, Martin Lawrence
904, Steve Coogan
905, Sacha Baron Cohen
906, Jeffrey Wright
907, Jackie Chan
908, Aaron Eckhart
909, Sam Worthington
910, Jack Davenport
911, Alfred Molina
912, Justin Bartha
913, Mark Hamill
914, Brendan Fraser
915, Ice Cube
916, Liev Schreiber
917, Ed Helms
918, Val Kilmer
919, Russell Brand
920, Craig T. Nelson
921, Bernie Mac
922, Patrick Stewart
923, Seth Green
924, Ashton Kutcher
925, Randy Quaid
926, Wesley Snipes
927, David Oyelowo
928, Mark Strong
929, Rob Schneider
930, Jay Baruchel
931, Hayden Christensen
932, Ray Stevenson
933, Paul Bettany
934, Hugh Laurie
935, Chris Tucker
936, Nick Swardson
937, Josh Lucas
938, Chris O'Donnell
939, Benjamin Bratt
940, Common
941, Johnny Knoxville
942, Marlon Wayans
943, Jai Courtney
944, Albert Brooks
945, Macaulay Culkin
946, Sam Elliott
947, Jim Caviezel
948, Paul Scofield
949, Jared Harris
950, Harpo Marx
951, Jason Sudeikis
952, Josh Hartnett
953, Patrick Wilson
954, Cillian Murphy
955, Billy Crudup
956, Christopher Mintz-Plasse
957, Anthony Mackie
958, Timothy Olyphant
959, Josh Gad
960, Luke Wilson
961, Peter Sarsgaard
962, Rhys Ifans
963, Topher Grace
964, Kevin Hart
965, Paul Dano
966, Lenny Kravitz
967, Bill Hader
968, Rob Lowe
969, David Spade
970, Rob Riggle
971, Lance Henriksen
972, Richard Jenkins
973, Mike Vogel
974, Michael Ealy
975, Freddie Prinze Jr.
976, Jamie Bell
977, Danny McBride
978, Jonathan Rhys Meyers
979, Michael Cera
980, Bill Paxton
981, Chris Klein
982, Ioan Gruffudd
983, Andrew Lincoln
984, Bill Pullman
985, Craig Robinson
986, Charlie Day
987, Andy Samberg
988, Garrett Hedlund
989, Cam Gigandet
990, John Krasinski
991, Kevin James
992, Breckin Meyer
993, Christopher Reeve
994, James McAvoy
995, Rufus Sewell
996, Ned Beatty
997, John Cleese
998, John Turturro
999, Jerry Lewis
